uid,pop_key,focal_population,focal_population_label,reference_population,reference_population_label,statistic,chromosome,rank,epicenter,epicenter_seqid,epicenter_coord,focus_start,focus_start_seqid,focus_start_coord,focus_end,focus_end_seqid,focus_end_coord,peak_start,peak_start_seqid,peak_start_coord,peak_end,peak_end_seqid,peak_end_coord,delta_aic,delta_aic_left,delta_aic_right,min_flank_delta_aic,max_value,max_percentile,overlapping_genes,known_loci
IHS/CMS/2/1,CMS,CMS,Cameroon *An. gambiae*,,,IHS,2,1,28420000,2R,28420000,28240000,2R,28240000,28560000,2R,28560000,26852646,2R,26852646,31250926,2R,31250926,1249.75842285156,592.676879882812,586.814758300781,586.814758300781,7.26992878320477,0.999646042758035,AGAP002845 AGAP002846 AGAP013388 AGAP002847 AGAP002848 AGAP002849 AGAP002850 AGAP002851 AGAP002852 AGAP002853 AGAP002854 AGAP002855 AGAP002856 AGAP013529 AGAP013314 AGAP002857 AGAP002858 AGAP002859 AGAP002862 AGAP013128 AGAP002863 AGAP002864 AGAP002865 AGAP002866 AGAP002867 AGAP002868 AGAP002869 AGAP002870 AGAP013202 AGAP000586 AGAP002872 AGAP002873 AGAP013069 AGAP002874,Cyp6p
XPEHH/CMS.UGS/3/1,CMS.UGS,CMS,Cameroon *An. gambiae*,UGS,Uganda *An. gambiae*,XPEHH,3,1,28300000,3R,28300000,28240000,3R,28240000,28380000,3R,28380000,28067567,3R,28067567,29001306,3R,29001306,1234.69799804688,1052.24768066406,449.380065917969,449.380065917969,13.6922283867524,1,AGAP009183,
XPEHH/BFS.UGS/3/1,BFS.UGS,BFS,Burkina Faso *An. gambiae*,UGS,Uganda *An. gambiae*,XPEHH,3,1,28340000,3R,28340000,28320000,3R,28320000,28360000,3R,28360000,28199797,3R,28199797,28902637,3R,28902637,1209.88659667969,810.800354003906,482.724212646484,482.724212646484,15.1692143934818,1,,
H12/UGS/2/3,UGS,UGS,Uganda *An. gambiae*,,,H12,2,3,95660000,2L,34114895,95620000,2L,34074895,95680000,2L,34134895,95225106,2L,33680001,95965105,2L,34420000,1193.14904785156,603.03369140625,647.528930664063,603.03369140625,0.413139786973324,0.980988932524098,AGAP006540 AGAP006541 AGAP006542 AGAP006543 AGAP028608 AGAP006546 AGAP006547 AGAP006548 AGAP006549 AGAP006550 AGAP006551 AGAP006552 AGAP006553 AGAP006554 AGAP006555 AGAP006556 AGAP006557 AGAP006558,
XPEHH/BFS.GWA/3/1,BFS.GWA,BFS,Burkina Faso *An. gambiae*,GWA,Guinea Bissau,XPEHH,3,1,28560000,3R,28560000,28500000,3R,28500000,28620000,3R,28620000,28200794,3R,28200794,28899044,3R,28899044,1181.69580078125,635.990234375,568.011169433594,568.011169433594,13.0959064456164,1,AGAP009185 AGAP009187 AGAP009188 AGAP009189 AGAP009190 AGAP009191 AGAP009192 AGAP009193 AGAP009194 AGAP009195 AGAP009196 AGAP009197 AGAP009198 AGAP009199 AGAP009200,Gste
XPEHH/BFS.UGS/2/2,BFS.UGS,BFS,Burkina Faso *An. gambiae*,UGS,Uganda *An. gambiae*,XPEHH,2,2,40900000,2R,40900000,40880000,2R,40880000,40940000,2R,40940000,40638500,2R,40638500,41357630,2R,41357630,1181.11462402344,700.901794433594,537.570739746094,537.570739746094,8.50346871444875,0.996167871932752,AGAP003639 AGAP003640 AGAP003641 AGAP003642 AGAP003643 AGAP003644 AGAP003645,
H12/BFM/2/2,BFM,BFM,Burkina Faso *An. coluzzii*,,,H12,2,2,87020000,2L,25474895,86980000,2L,25434895,87040000,2L,25494895,86465106,2L,24920001,87245105,2L,25700000,1172.98742675781,591.913208007813,637.723388671875,591.913208007813,0.38384793110691,0.983669462787792,AGAP006029 AGAP006030 AGAP006031 AGAP006032 AGAP006033 AGAP006034,Rdl
IHS/BFS/2/1,BFS,BFS,Burkina Faso *An. gambiae*,,,IHS,2,1,28400000,2R,28400000,28260000,2R,28260000,28540000,2R,28540000,27065953,2R,27065953,31000874,2R,31000874,1164.2958984375,583.523559570313,534.805297851563,534.805297851563,5.69390770467735,0.990942028985507,AGAP002845 AGAP002846 AGAP013388 AGAP002847 AGAP002848 AGAP002849 AGAP002850 AGAP002851 AGAP002852 AGAP002853 AGAP002854 AGAP002855 AGAP002856 AGAP013529 AGAP013314 AGAP002857 AGAP002858 AGAP002859 AGAP002862 AGAP013128 AGAP002863 AGAP002864 AGAP002865 AGAP002866 AGAP002867 AGAP002868 AGAP002869 AGAP002870 AGAP013202 AGAP000586 AGAP002872 AGAP002873,Cyp6p
IHS/GNS/2/1,GNS,GNS,Guinea *An. gambiae*,,,IHS,2,1,28600000,2R,28600000,28440000,2R,28440000,28700000,2R,28700000,27601270,2R,27601270,29753290,2R,29753290,1134.01550292969,635.034790039063,524.501586914063,524.501586914063,6.59863364687834,0.998399301513388,AGAP002859 AGAP002862 AGAP013128 AGAP002863 AGAP002864 AGAP002865 AGAP002866 AGAP002867 AGAP002868 AGAP002869 AGAP002870 AGAP013202 AGAP000586 AGAP002872 AGAP002873 AGAP013069 AGAP002874 AGAP002875 AGAP013244 AGAP002876 AGAP002877 AGAP002878 AGAP002879 AGAP002880 AGAP002881 AGAP002883 AGAP013115 AGAP002884 AGAP002885,Cyp6p
H12/CMS/2/1,CMS,CMS,Cameroon *An. gambiae*,,,H12,2,1,28500000,2R,28500000,28460000,2R,28460000,28560000,2R,28560000,27900001,2R,27900001,29180000,2R,29180000,1124.68054199219,584.559326171875,569.333801269531,569.333801269531,0.375047933884297,0.999553810458683,AGAP002859 AGAP002862 AGAP013128 AGAP002863 AGAP002864 AGAP002865 AGAP002866 AGAP002867 AGAP002868 AGAP002869 AGAP002870 AGAP013202 AGAP000586 AGAP002872 AGAP002873 AGAP013069 AGAP002874,Cyp6p
IHS/CMS/3/1,CMS,CMS,Cameroon *An. gambiae*,,,IHS,3,1,28520000,3R,28520000,28320000,3R,28320000,28700000,3R,28700000,27082942,3R,27082942,29434605,3R,29434605,1106.35717773438,692.745666503906,448.892211914063,448.892211914063,7.85440844570017,1,AGAP009183 AGAP009184 AGAP009185 AGAP009187 AGAP009188 AGAP009189 AGAP009190 AGAP009191 AGAP009192 AGAP009193 AGAP009194 AGAP009195 AGAP009196 AGAP009197 AGAP009198 AGAP009199 AGAP009200 AGAP009201 AGAP009202 AGAP028058 AGAP009203 AGAP009204 AGAP009205 AGAP009206 AGAP009207,Gste
H12/GNS/2/2,GNS,GNS,Guinea *An. gambiae*,,,H12,2,2,28440000,2R,28440000,28420000,2R,28420000,28460000,2R,28460000,28220001,2R,28220001,28920000,2R,28920000,1073.009765625,544.329284667969,560.871948242188,544.329284667969,0.401144640998959,0.98465107977869,AGAP002859,Cyp6p
IHS/BFM/3/1,BFM,BFM,Burkina Faso *An. coluzzii*,,,IHS,3,1,28320000,3R,28320000,28260000,3R,28260000,28620000,3R,28620000,27984659,3R,27984659,29435630,3R,29435630,1058.16931152344,311.627655029297,584.11083984375,311.627655029297,9.14508237637387,1,AGAP009183 AGAP009184 AGAP009185 AGAP009187 AGAP009188 AGAP009189 AGAP009190 AGAP009191 AGAP009192 AGAP009193 AGAP009194 AGAP009195 AGAP009196 AGAP009197 AGAP009198 AGAP009199 AGAP009200,Gste
H12/BFS/3/1,BFS,BFS,Burkina Faso *An. gambiae*,,,H12,3,1,28540000,3R,28540000,28520000,3R,28520000,28580000,3R,28580000,28220001,3R,28220001,28920000,3R,28920000,995.216552734375,655.304809570313,424.800079345703,424.800079345703,0.416780978509374,0.983669462787792,AGAP009185 AGAP009187 AGAP009188 AGAP009189,Gste
H12/BFS/2/2,BFS,BFS,Burkina Faso *An. gambiae*,,,H12,2,2,28460000,2R,28460000,28440000,2R,28440000,28480000,2R,28480000,28260001,2R,28260001,28780000,2R,28780000,976.5986328125,460.816528320312,566.993896484375,460.816528320312,0.425468678555098,0.983847938604319,AGAP002859,Cyp6p
XPEHH/BFS.UGS/X/1,BFS.UGS,BFS,Burkina Faso *An. gambiae*,UGS,Uganda *An. gambiae*,XPEHH,X,1,15040000,X,15040000,14960000,X,14960000,15140000,X,15140000,14664626,X,14664626,15680027,X,15680027,961.621765136719,588.721740722656,399.782073974609,399.782073974609,10.6199233350338,0.998578404104086,AGAP000817 AGAP000816 AGAP013474 AGAP013173 AGAP013424,
H12/GNS/3/1,GNS,GNS,Guinea *An. gambiae*,,,H12,3,1,28500000,3R,28500000,28480000,3R,28480000,28540000,3R,28540000,28200001,3R,28200001,28960000,3R,28960000,954.007934570313,566.7900390625,437.062622070313,437.062622070313,0.316857440166493,0.98179546671426,AGAP009184,
XPEHH/CMS.UGS/2/1,CMS.UGS,CMS,Cameroon *An. gambiae*,UGS,Uganda *An. gambiae*,XPEHH,2,1,41280000,2R,41280000,41020000,2R,41020000,41400000,2R,41400000,40315236,2R,40315236,41674238,2R,41674238,943.044067382813,543.806884765625,382.452911376953,382.452911376953,7.16988054142835,0.99658974650449,AGAP003651 AGAP012992 AGAP013502 AGAP003652 AGAP003654 AGAP003655 AGAP013179 AGAP003656 AGAP003657 AGAP003658 AGAP003660 AGAP003661 AGAP003662 AGAP013323 AGAP003663 AGAP013457 AGAP003664 AGAP013358 AGAP003665 AGAP003666 AGAP003667,
XPEHH/BFS.GWA/2/1,BFS.GWA,BFS,Burkina Faso *An. gambiae*,GWA,Guinea Bissau,XPEHH,2,1,64680000,2L,3134895,63780000,2L,2234895,64820000,2L,3274895,57535698,2R,57535698,65652127,2L,4107022,938.038879394531,425.198577880859,483.620239257813,425.198577880859,8.95357242749054,0.996071428571429,AGAP004703 AGAP004704 AGAP028437 AGAP004706 AGAP004707 AGAP004708 AGAP004709 AGAP004710 AGAP004711 AGAP004712 AGAP004713 AGAP004714 AGAP004715 AGAP004716 AGAP004717 AGAP004718 AGAP004719 AGAP004720 AGAP004721 AGAP004722 AGAP004723 AGAP004724 AGAP004725 AGAP004726 AGAP004727 AGAP004728 AGAP004729 AGAP004730 AGAP004731 AGAP029113 AGAP004733 AGAP004735 AGAP004736 AGAP004737 AGAP004738 AGAP004739 AGAP004740 AGAP004741 AGAP004742 AGAP004743 AGAP004744 AGAP004745 AGAP004746 AGAP004747 AGAP004748 AGAP004749 AGAP004750 AGAP004751 AGAP004752 AGAP004753 AGAP004754 AGAP004755 AGAP004756 AGAP013546 AGAP004757 AGAP004758 AGAP004759 AGAP004760 AGAP004761 AGAP004762 AGAP004763 AGAP004764 AGAP004765 AGAP028129 AGAP004766 AGAP004767,Vgsc
XPEHH/BFM.GWA/2/1,BFM.GWA,BFM,Burkina Faso *An. coluzzii*,GWA,Guinea Bissau,XPEHH,2,1,64400000,2L,2854895,63880000,2L,2334895,64520000,2L,2974895,59568555,2R,59568555,64861953,2L,3316848,917.460998535156,468.774627685547,452.995513916016,452.995513916016,11.0661730511106,0.99761038961039,AGAP004707 AGAP004708 AGAP004709 AGAP004710 AGAP004711 AGAP004712 AGAP004713 AGAP004714 AGAP004715 AGAP004716 AGAP004717 AGAP004718 AGAP004719 AGAP004720 AGAP004721 AGAP004722 AGAP004723 AGAP004724 AGAP004725 AGAP004726 AGAP004727 AGAP004728 AGAP004729 AGAP004730 AGAP004731 AGAP029113 AGAP004733 AGAP004735 AGAP004736 AGAP004737 AGAP004738,Vgsc
XPEHH/BFS.BFM/2/1,BFS.BFM,BFS,Burkina Faso *An. gambiae*,BFM,Burkina Faso *An. coluzzii*,XPEHH,2,1,90120000,2L,28574895,90000000,2L,28454895,90200000,2L,28654895,89053739,2L,27508634,90641304,2L,29096199,900.724182128906,476.74072265625,440.849792480469,440.849792480469,8.20632187781904,0.998110739718064,AGAP006214 AGAP006215 AGAP006216 AGAP006217 AGAP006218 AGAP006219 AGAP006220 AGAP006221 AGAP006222 AGAP006223 AGAP006224 AGAP006225 AGAP006226 AGAP006227 AGAP006228 AGAP006229 AGAP006231 AGAP006232 AGAP006233 AGAP006234 AGAP006235 AGAP006236 AGAP006237 AGAP006238 AGAP006239 AGAP006240 AGAP006241 AGAP006242 AGAP006243 AGAP029069 AGAP006244 AGAP006245 AGAP006246 AGAP006247 AGAP006248 AGAP006249 AGAP006250 AGAP006251 AGAP006252 AGAP006253 AGAP006254 AGAP006255 AGAP006256,
H12/UGS/3/1,UGS,UGS,Uganda *An. gambiae*,,,H12,3,1,28580000,3R,28580000,28560000,3R,28560000,28600000,3R,28600000,28440001,3R,28440001,28780000,3R,28780000,876.533569335938,575.530639648438,394.712310791016,394.712310791016,0.288481477990385,0.973134594787576,AGAP009185 AGAP009187 AGAP009188 AGAP009189 AGAP009190 AGAP009191 AGAP009192 AGAP009193 AGAP009194 AGAP009195,Gste
XPEHH/BFS.GWA/X/1,BFS.GWA,BFS,Burkina Faso *An. gambiae*,GWA,Guinea Bissau,XPEHH,X,1,15140000,X,15140000,15060000,X,15060000,15220000,X,15220000,14664301,X,14664301,15623814,X,15623814,866.273986816406,555.563293457031,290.761291503906,290.761291503906,8.78561846130503,0.995625,AGAP013424 AGAP012997,Cyp9k1
XPEHH/BFS.GWA/2/2,BFS.GWA,BFS,Burkina Faso *An. gambiae*,GWA,Guinea Bissau,XPEHH,2,2,90080000,2L,28534895,89920000,2L,28374895,90240000,2L,28694895,89115121,2L,27570016,90609401,2L,29064296,863.897338867188,418.024139404297,508.654998779297,418.024139404297,5.93320993588308,0.980357142857143,AGAP028453 AGAP006214 AGAP006215 AGAP006216 AGAP006217 AGAP006218 AGAP006219 AGAP006220 AGAP006221 AGAP006222 AGAP006223 AGAP006224 AGAP006225 AGAP006226 AGAP006227 AGAP006228 AGAP006229 AGAP006231 AGAP006232 AGAP006233 AGAP006234 AGAP006235 AGAP006236 AGAP006237 AGAP006238 AGAP006239 AGAP006240 AGAP006241 AGAP006242 AGAP006243 AGAP029069 AGAP006244 AGAP006245 AGAP006246 AGAP006247 AGAP006248 AGAP006249 AGAP006250 AGAP006251 AGAP006252 AGAP006253 AGAP006254 AGAP006255 AGAP006256 AGAP028399 AGAP028454 AGAP006257,
IHS/UGS/2/2,UGS,UGS,Uganda *An. gambiae*,,,IHS,2,2,95600000,2L,34054895,95480000,2L,33934895,95740000,2L,34194895,94534981,2L,32989876,96593155,2L,35048050,860.674133300781,455.952575683594,411.904998779297,411.904998779297,6.87534069556433,0.99992954769621,AGAP006532 AGAP006533 AGAP006534 AGAP006535 AGAP006536 AGAP006537 AGAP006539 AGAP006540 AGAP006541 AGAP006542 AGAP006543 AGAP028608 AGAP006546 AGAP006547 AGAP006548 AGAP006549 AGAP006550 AGAP006551 AGAP006552 AGAP006553 AGAP006554 AGAP006555 AGAP006556 AGAP006557 AGAP006558 AGAP006559 AGAP006560 AGAP006561 AGAP006562 AGAP006563 AGAP006564 AGAP028429 AGAP006566 AGAP028428 AGAP006567 AGAP006568 AGAP006569 AGAP006570 AGAP006571,
XPEHH/BFM.GWA/X/1,BFM.GWA,BFM,Burkina Faso *An. coluzzii*,GWA,Guinea Bissau,XPEHH,X,1,15160000,X,15160000,15060000,X,15060000,15260000,X,15260000,14588647,X,14588647,16077548,X,16077548,852.913696289063,553.646240234375,337.098541259766,337.098541259766,8.14069496840847,0.993974025974026,AGAP013424 AGAP012997 AGAP000818 AGAP000819,Cyp9k1
XPEHH/BFS.BFM/X/1,BFS.BFM,BFS,Burkina Faso *An. gambiae*,BFM,Burkina Faso *An. coluzzii*,XPEHH,X,1,9220000,X,9220000,9200000,X,9200000,9240000,X,9240000,9087511,X,9087511,9350290,X,9350290,848.3310546875,525.302673339844,401.326599121094,401.326599121094,5.27245191322091,0.976384246475803,AGAP000519,
H12/BFS/2/3,BFS,BFS,Burkina Faso *An. gambiae*,,,H12,2,3,90100000,2L,28554895,90040000,2L,28494895,90180000,2L,28634895,89225106,2L,27680001,90545105,2L,29000000,834.51416015625,362.670257568359,534.535705566406,362.670257568359,0.391556165218717,0.982598607888631,AGAP006219 AGAP006220 AGAP006221 AGAP006222 AGAP006223 AGAP006224 AGAP006225 AGAP006226 AGAP006227 AGAP006228 AGAP006229 AGAP006231 AGAP006232 AGAP006233 AGAP006234 AGAP006235 AGAP006236 AGAP006237 AGAP006238 AGAP006239 AGAP006240 AGAP006241 AGAP006242 AGAP006243 AGAP029069 AGAP006244 AGAP006245 AGAP006246 AGAP006247 AGAP006248 AGAP006249 AGAP006250 AGAP006251 AGAP006252 AGAP006253 AGAP006254,
H12/BFS/X/1,BFS,BFS,Burkina Faso *An. gambiae*,,,H12,X,1,15200000,X,15200000,15100000,X,15100000,15240000,X,15240000,14760001,X,14760001,15660000,X,15660000,815.384826660156,488.101684570313,358.614776611328,358.614776611328,0.494356355818328,0.985275745136534,AGAP012997,Cyp9k1
IHS/GNS/3/1,GNS,GNS,Guinea *An. gambiae*,,,IHS,3,1,28340000,3R,28340000,28240000,3R,28240000,28420000,3R,28420000,27516379,3R,27516379,30593159,3R,30593159,791.092590332031,425.2275390625,320.790252685547,320.790252685547,6.98723406388514,0.999126891734575,AGAP009183,
XPEHH/BFM.GWA/3/1,BFM.GWA,BFM,Burkina Faso *An. coluzzii*,GWA,Guinea Bissau,XPEHH,3,1,28640000,3R,28640000,28600000,3R,28600000,28660000,3R,28660000,28267817,3R,28267817,28730461,3R,28730461,767.123352050781,493.231567382813,264.431396484375,264.431396484375,14.2097216813896,1,AGAP009196 AGAP009197 AGAP009198 AGAP009199 AGAP009200 AGAP009201 AGAP009202 AGAP028058 AGAP009203,Gste
XPEHH/CMS.GWA/2/1,CMS.GWA,CMS,Cameroon *An. gambiae*,GWA,Guinea Bissau,XPEHH,2,1,65120000,2L,3574895,65020000,2L,3474895,65360000,2L,3814895,57994626,2R,57994626,67548912,2L,6003807,760.754638671875,361.182830810547,396.552886962891,361.182830810547,8.44167311720862,0.996311146752205,AGAP004783 AGAP004784 AGAP004785 AGAP004786 AGAP004787 AGAP004788 AGAP004789 AGAP004790 AGAP004791 AGAP004792 AGAP004793 AGAP004794 AGAP004795 AGAP004797 AGAP004798 AGAP004799 AGAP004800 AGAP004801 AGAP004802 AGAP004803 AGAP004804 AGAP004805 AGAP004806 AGAP004807 AGAP004808 AGAP004809 AGAP004810 AGAP004811 AGAP004812,
XPEHH/UGS.GWA/2/1,UGS.GWA,UGS,Uganda *An. gambiae*,GWA,Guinea Bissau,XPEHH,2,1,28520000,2R,28520000,28460000,2R,28460000,28600000,2R,28600000,27825340,2R,27825340,28931714,2R,28931714,758.849670410156,464.507843017578,313.725128173828,313.725128173828,7.46531507310677,0.997283663174234,AGAP002859 AGAP002862 AGAP013128 AGAP002863 AGAP002864 AGAP002865 AGAP002866 AGAP002867 AGAP002868 AGAP002869 AGAP002870 AGAP013202 AGAP000586 AGAP002872 AGAP002873 AGAP013069 AGAP002874 AGAP002875 AGAP013244 AGAP002876 AGAP002877 AGAP002878 AGAP002879 AGAP002880,Cyp6p
XPEHH/UGS.BFS/2/1,UGS.BFS,UGS,Uganda *An. gambiae*,BFS,Burkina Faso *An. gambiae*,XPEHH,2,1,28120000,2R,28120000,27980000,2R,27980000,28280000,2R,28280000,27642554,2R,27642554,29417819,2R,29417819,753.313415527344,458.955017089844,314.961853027344,314.961853027344,9.37611470421526,0.9986906424581,AGAP002822 AGAP002823 AGAP002824 AGAP002825 AGAP002826 AGAP002828 AGAP002829 AGAP002830 AGAP002831 AGAP013130 AGAP002832 AGAP002835 AGAP002836 AGAP002837 AGAP013054 AGAP002838 AGAP013404 AGAP002839 AGAP002840 AGAP013351 AGAP002841 AGAP002842 AGAP002845,
IHS/BFS/3/1,BFS,BFS,Burkina Faso *An. gambiae*,,,IHS,3,1,28000000,3R,28000000,27940000,3R,27940000,28260000,3R,28260000,26990741,3R,26990741,31999742,3R,31999742,749.133911132813,467.587188720703,203.487991333008,203.487991333008,7.90791472661801,1,AGAP009163 AGAP009164 AGAP028161 AGAP009165 AGAP009166 AGAP009167 AGAP009168 AGAP009170 AGAP009172 AGAP009171 AGAP009173 AGAP009174 AGAP009175 AGAP009176 AGAP009177 AGAP009178 AGAP009179 AGAP009180 AGAP009181 AGAP009182,
H12/BFM/3/1,BFM,BFM,Burkina Faso *An. coluzzii*,,,H12,3,1,28600000,3R,28600000,28560000,3R,28560000,28620000,3R,28620000,28220001,3R,28220001,28800000,3R,28800000,747.17431640625,481.670562744141,300.292602539063,300.292602539063,0.276832598193657,0.979564519007674,AGAP009185 AGAP009187 AGAP009188 AGAP009189 AGAP009190 AGAP009191 AGAP009192 AGAP009193 AGAP009194 AGAP009195 AGAP009196 AGAP009197 AGAP009198 AGAP009199 AGAP009200,Gste
